,Date_Time,Location,Model,Label,Actual,Predict,Score
0,2023-03-11 06:00:00,CAP,OLS,Max_PM10_EWMA,69.0,90.22,26.1
1,2023-03-11 18:00:00,CAP,OLS,Max_PM10_EWMA,106.0,87.17,26.1
2,2023-03-12 06:00:00,CAP,OLS,Max_PM10_EWMA,83.0,107.88,26.1
3,2023-03-12 18:00:00,CAP,OLS,Max_PM10_EWMA,138.0,113.61,26.1
4,2023-03-13 06:00:00,CAP,OLS,Max_PM10_EWMA,84.0,98.1,26.1
5,2023-03-13 18:00:00,CAP,OLS,Max_PM10_EWMA,62.0,51.8,26.1
6,2023-03-14 06:00:00,CAP,OLS,Max_PM10_EWMA,106.0,85.91,26.1
7,2023-03-14 18:00:00,CAP,OLS,Max_PM10_EWMA,83.0,78.02,26.1
8,2023-03-15 06:00:00,CAP,OLS,Max_PM10_EWMA,63.0,67.88,26.1
9,2023-03-15 18:00:00,CAP,OLS,Max_PM10_EWMA,51.0,60.16,26.1
10,2023-03-16 06:00:00,CAP,OLS,Max_PM10_EWMA,39.0,72.64,26.1
11,2023-03-16 18:00:00,CAP,OLS,Max_PM10_EWMA,43.0,75.63,26.1
12,2023-03-17 06:00:00,CAP,OLS,Max_PM10_EWMA,87.0,77.65,26.1
13,2023-03-17 18:00:00,CAP,OLS,Max_PM10_EWMA,118.0,80.66,26.1
14,2023-03-18 06:00:00,CAP,OLS,Max_PM10_EWMA,74.0,73.87,26.1
15,2023-03-18 18:00:00,CAP,OLS,Max_PM10_EWMA,47.0,95.98,26.1
16,2023-03-19 06:00:00,CAP,OLS,Max_PM10_EWMA,22.0,75.19,26.1
17,2023-03-19 18:00:00,CAP,OLS,Max_PM10_EWMA,53.0,63.15,26.1
18,2023-03-20 06:00:00,CAP,OLS,Max_PM10_EWMA,27.0,73.43,26.1
19,2023-03-20 18:00:00,CAP,OLS,Max_PM10_EWMA,58.0,89.21,26.1
20,2023-03-21 06:00:00,CAP,OLS,Max_PM10_EWMA,139.0,91.66,26.1
21,2023-03-21 18:00:00,CAP,OLS,Max_PM10_EWMA,93.0,106.57,26.1
22,2023-03-22 06:00:00,CAP,OLS,Max_PM10_EWMA,119.0,160.95,26.1
23,2023-03-22 18:00:00,CAP,OLS,Max_PM10_EWMA,94.0,96.95,26.1
24,2023-03-23 06:00:00,CAP,OLS,Max_PM10_EWMA,106.0,89.39,26.1
25,2023-03-23 18:00:00,CAP,OLS,Max_PM10_EWMA,94.0,112.72,26.1
26,2023-03-24 06:00:00,CAP,OLS,Max_PM10_EWMA,107.0,96.52,26.1
27,2023-03-24 18:00:00,CAP,OLS,Max_PM10_EWMA,110.0,125.39,26.1
28,2023-03-25 06:00:00,CAP,OLS,Max_PM10_EWMA,179.0,101.95,26.1
29,2023-03-25 18:00:00,CAP,OLS,Max_PM10_EWMA,99.0,135.58,26.1
30,2023-03-26 06:00:00,CAP,OLS,Max_PM10_EWMA,70.0,87.6,26.1
31,2023-03-26 18:00:00,CAP,OLS,Max_PM10_EWMA,86.0,133.48,26.1
32,2023-03-27 06:00:00,CAP,OLS,Max_PM10_EWMA,126.0,77.83,26.1
33,2023-03-27 18:00:00,CAP,OLS,Max_PM10_EWMA,128.0,111.53,26.1
34,2023-03-28 06:00:00,CAP,OLS,Max_PM10_EWMA,124.0,81.67,26.1
35,2023-03-28 18:00:00,CAP,OLS,Max_PM10_EWMA,113.0,94.99,26.1
36,2023-03-29 06:00:00,CAP,OLS,Max_PM10_EWMA,66.0,93.83,26.1
37,2023-03-29 18:00:00,CAP,OLS,Max_PM10_EWMA,84.0,72.06,26.1
38,2023-03-30 06:00:00,CAP,OLS,Max_PM10_EWMA,101.0,91.88,26.1
39,2023-03-30 18:00:00,CAP,OLS,Max_PM10_EWMA,130.0,84.0,26.1
40,2023-03-31 06:00:00,CAP,OLS,Max_PM10_EWMA,99.0,102.12,26.1
41,2023-03-31 18:00:00,CAP,OLS,Max_PM10_EWMA,94.0,120.34,26.1
42,2023-04-01 06:00:00,CAP,OLS,Max_PM10_EWMA,70.0,80.64,26.1
43,2023-04-01 18:00:00,CAP,OLS,Max_PM10_EWMA,111.0,78.0,26.1
44,2023-04-02 06:00:00,CAP,OLS,Max_PM10_EWMA,49.0,102.72,26.1
45,2023-04-02 18:00:00,CAP,OLS,Max_PM10_EWMA,82.0,78.87,26.1
46,2023-04-03 06:00:00,CAP,OLS,Max_PM10_EWMA,96.0,94.07,26.1
